Investor.Name,Portfolio.Name,ISIN,MarketValue,Currency
Mock investor,Mock portfolio,FI0009002158,4369,EUR
Mock investor,Mock portfolio,SE0001662230,113976961,SEK
Mock investor,Mock portfolio,CH0012221716,474343686,SEK
Mock investor,Mock portfolio,SE0000825820,548593535,SEK
Mock investor,Mock portfolio,DK0060336014,77332089,DKK
Mock investor,Mock portfolio,DK0060079531,778899745,DKK
Mock investor,Mock portfolio,DK0060495240,71067560,DKK
Mock investor,Mock portfolio,FI0009013403,46506373,EUR
Mock investor,Mock portfolio,NO0005806802,1967075274,NOK
Mock investor,Mock portfolio,FO0000000179,3427598936,NOK
Mock investor,Mock portfolio,NO0010081235,346439265,NOK
Mock investor,Mock portfolio,NO0010345853,3363958293,NOK
Mock investor,Mock portfolio,DK0060534915,3248614005,DKK
Mock investor,Mock portfolio,DK0061539921,739322000,DKK
Mock investor,Mock portfolio,DK0010244425,172258020,DKK
Mock investor,Mock portfolio,NO0010735343,1381154150,NOK
Mock investor,Mock portfolio,SE0015658117,109257881,SEK
Mock investor,Mock portfolio,NO0010816093,881924234,NOK
Mock investor,Mock portfolio,NO0010936081,143000000,NOK
Mock investor,Mock portfolio,NO0010894231,244423442,NOK
Mock investor,Mock portfolio,SE0009664915,30430300,SEK
Mock investor,Mock portfolio,NO0010732258,250478508,NOK
Mock investor,Mock portfolio,XS1571331955,7087886,EUR
Mock investor,Mock portfolio,XS1725395302,3177022,EUR
Mock investor,Mock portfolio,US24820RAG39,28420847,USD
Mock investor,Mock portfolio,NO0010792849,51535870,NOK
Mock investor,Mock portfolio,XS1515222385,205523699,EUR
Mock investor,Mock portfolio,NO0010794266,202086998,NOK
Mock investor,Mock portfolio,XS0909773268,11327445,EUR
Mock investor,Mock portfolio,NO0010770852,200806760,NOK
Mock investor,Mock portfolio,NO0010657398,127729672,NOK
Mock investor,Mock portfolio,NO0010832710,7951775,EUR
Mock investor,Mock portfolio,NO0010822646,11179178,EUR
Mock investor,Mock portfolio,NO0010807910,420700038,NOK
Mock investor,Mock portfolio,NO0010830763,4087515,NOK
Mock investor,Mock portfolio,FI4000306758,50412766,EUR
Mock investor,Mock portfolio,NO0010819717,983015869,NOK
Mock investor,Mock portfolio,XS1790931114,32334860,EUR
Mock investor,Mock portfolio,NO0010822836,25522856,NOK
Mock investor,Mock portfolio,NO0010813934,85698003,NOK
Mock investor,Mock portfolio,NO0010819170,25232164,NOK
Mock investor,Mock portfolio,NO0010811615,20126188,NOK
Mock investor,Mock portfolio,XS1876473122,6320802,EUR
Mock investor,Mock portfolio,NO0010843451,151997560,NOK
Mock investor,Mock portfolio,NO0010835390,251964586,NOK
Mock investor,Mock portfolio,NO0010812183,105837272,NOK
Mock investor,Mock portfolio,NO0010831902,114788743,NOK
Mock investor,Mock portfolio,NO0010842826,100313041,NOK
Mock investor,Mock portfolio,XS1953833750,7831599,EUR
Mock investor,Mock portfolio,NO0010843832,20048448,NOK
Mock investor,Mock portfolio,NO0010841380,200761676,NOK
Mock investor,Mock portfolio,NO0010786759,20138710,NOK
Mock investor,Mock portfolio,XS2057872595,17109822,EUR
Mock investor,Mock portfolio,NO0010861081,201063327,NOK
Mock investor,Mock portfolio,NO0010861875,12029329,NOK
Mock investor,Mock portfolio,XS2075216395,75292994,SEK
Mock investor,Mock portfolio,NO0010861388,100227101,NOK
Mock investor,Mock portfolio,NO0010865660,10288359,NOK
Mock investor,Mock portfolio,XS2009891479,9152935,EUR
Mock investor,Mock portfolio,NO0010864390,100482138,NOK
Mock investor,Mock portfolio,NO0010835770,120972145,NOK
Mock investor,Mock portfolio,NO0010867583,20259405,NOK
Mock investor,Mock portfolio,NO0010891971,135073880,NOK
Mock investor,Mock portfolio,SE0014453130,38597738,SEK
Mock investor,Mock portfolio,NO0010881162,634255655,NOK
Mock investor,Mock portfolio,NO0010882632,314799919,NOK
Mock investor,Mock portfolio,XS1978004882,100906311,SEK
Mock investor,Mock portfolio,NO0010872724,151341030,NOK
Mock investor,Mock portfolio,NO0010872989,50479890,NOK
Mock investor,Mock portfolio,NO0010872906,150899400,NOK
Mock investor,Mock portfolio,XS2105772201,20606055,EUR
Mock investor,Mock portfolio,XS2153410977,8333364,EUR
Mock investor,Mock portfolio,XS2108433371,50257114,NOK
Mock investor,Mock portfolio,NO0010877731,77092140,NOK
Mock investor,Mock portfolio,XS2076169668,3177573,USD
Mock investor,Mock portfolio,NO0010914724,227814531,NOK
Mock investor,Mock portfolio,NO0010931801,99445923,NOK
Mock investor,Mock portfolio,XS2270406452,21323014,EUR
Mock investor,Mock portfolio,USR0139KAC47,37839495,USD
Mock investor,Mock portfolio,USR0139KAD20,39705240,USD
Mock investor,Mock portfolio,NO0010922842,746541107,NOK
Mock investor,Mock portfolio,NO0010946486,119939288,NOK
Mock investor,Mock portfolio,NO0010921067,460705515,NOK
Mock investor,Mock portfolio,NO0010958119,159909204,NOK
Mock investor,Mock portfolio,NO0010907397,20122764,NOK
Mock investor,Mock portfolio,NO0010920853,25153709,NOK
Mock investor,Mock portfolio,XS2243299463,8079039,EUR
Mock investor,Mock portfolio,NO0011082091,75184844,NOK
Mock investor,Mock portfolio,NO0011045478,133831786,NOK
Mock investor,Mock portfolio,NO0011086944,99923630,NOK
Mock investor,Mock portfolio,NO0011097305,36238334,NOK
Mock investor,Mock portfolio,DK0009531808,512344361,SEK
Mock investor,Mock portfolio,FI4000507371,3110010,EUR
Mock investor,Mock portfolio,NO0010571680,527364433,NOK
Mock investor,Mock portfolio,SE0000382335,82751020,SEK
Mock investor,Mock portfolio,SE0000112724,232702504,SEK
Mock investor,Mock portfolio,SE0017768716,497806050,SEK
Mock investor,Mock portfolio,SE0000113250,169177883,SEK
Mock investor,Mock portfolio,FI0009007884,10992963,EUR
Mock investor,Mock portfolio,NO0003054108,9408922067,NOK
Mock investor,Mock portfolio,SE0000667891,405868586,SEK
Mock investor,Mock portfolio,SE0000190126,10808944,SEK
Mock investor,Mock portfolio,SE0001662222,19760447,SEK
Mock investor,Mock portfolio,NO0003078800,791122921,NOK
Mock investor,Mock portfolio,LU0075646355,1502009161,NOK
Mock investor,Mock portfolio,SE0015988019,601774939,SEK
Mock investor,Mock portfolio,NO0010365521,458064402,NOK
Mock investor,Mock portfolio,NO0010840507,211496122,NOK
Mock investor,Mock portfolio,NO0010786031,92293323,NOK
Mock investor,Mock portfolio,NO0010782543,138129653,NOK
Mock investor,Mock portfolio,NO0010736929,150164350,NOK
Mock investor,Mock portfolio,NO0010782063,196675246,NOK
Mock investor,Mock portfolio,DK0009502627,201994521,DKK
Mock investor,Mock portfolio,NO0010769920,100393474,NOK
Mock investor,Mock portfolio,XS0989164743,106265611,SEK
Mock investor,Mock portfolio,NO0010808835,100427750,NOK
Mock investor,Mock portfolio,NO0010790835,31145919,NOK
Mock investor,Mock portfolio,NO0010816184,41982333,SEK
Mock investor,Mock portfolio,NO0010810997,50362895,NOK
Mock investor,Mock portfolio,NO0010818578,216352307,NOK
Mock investor,Mock portfolio,NO0010810922,90588837,NOK
Mock investor,Mock portfolio,NO0010816515,165762515,NOK
Mock investor,Mock portfolio,NO0010820137,160923780,NOK
Mock investor,Mock portfolio,XS1883278183,3980166,EUR
Mock investor,Mock portfolio,NO0010843311,86067112,NOK
Mock investor,Mock portfolio,NO0010811094,156060484,NOK
Mock investor,Mock portfolio,NO0010812068,10065844,NOK
Mock investor,Mock portfolio,NO0010822018,20089391,NOK
Mock investor,Mock portfolio,NO0010842917,20083978,NOK
Mock investor,Mock portfolio,NO0010843105,227599155,NOK
Mock investor,Mock portfolio,NO0010830532,50216630,NOK
Mock investor,Mock portfolio,NO0010843626,477892275,NOK
Mock investor,Mock portfolio,NO0010820996,130499963,NOK
Mock investor,Mock portfolio,XS1945947635,2127009,EUR
Mock investor,Mock portfolio,NO0010807084,10186887,NOK
Mock investor,Mock portfolio,NO0010868862,37368978,NOK
Mock investor,Mock portfolio,NO0010871932,351237534,NOK
Mock investor,Mock portfolio,NO0010871171,99808771,NOK
Mock investor,Mock portfolio,SE0013359478,40386128,SEK
